"currencyCode";"tierMinimumUnits";"retailPrice";"unitPrice";"armRegionName";"location";"effectiveStartDate";"meterId";"meterName";"productId";"skuId";"productName";"skuName";"serviceName";"serviceId";"serviceFamily";"unitOfMeasure";"type";"isPrimaryMeterRegion";"armSkuName";"retrievalDate"
"EUR";"0";"0.2451";"0.2451";"southindia";"IN South";"10/1/2023 12:00:00 AM";"000009d0-057f-5f2b-b7e9-9e26add324a8";"D14/DS14 Spot";"DZH318Z0BPVW";"DZH318Z0BPVW/00QZ";"Virtual Machines D Series Windows";"D14 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_D14";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.178";"0.178";"southindia";"IN South";"7/1/2023 12:00:00 AM";"000009d0-057f-5f2b-b7e9-9e26add324a8";"D14/DS14 Spot";"DZH318Z0BPVW";"DZH318Z0BPVW/00QZ";"Virtual Machines D Series Windows";"D14 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_D14";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0925";"0.0925";"uksouth";"UK South";"5/1/2018 12:00:00 AM";"ace03b73-4864-4a8c-afcb-55ddf91e010e";"vCore";"DZH318Z0BQJ7";"DZH318Z0BQJ7/000C";"Azure Database for MySQL Single Server General Purpose - Compute Gen5";"vCore";"Azure Database for MySQL";"DZH317NR0P99";"Databases";"1 Hour";"Consumption";"False";"AzureDB_MySQL_General_Purpose_Compute_Gen5";"12/18/2023 8:27:51 PM"
"EUR";"0";"518.1677";"518.1677";"uksouth";"UK South";"10/24/2019 12:00:00 AM";"ace03b73-4864-4a8c-afcb-55ddf91e010e";"vCore";"DZH318Z0BQJ7";"DZH318Z0BQJ7/017G";"Azure Database for MySQL Single Server General Purpose - Compute Gen5";"vCore";"Azure Database for MySQL";"DZH317NR0P99";"Databases";"1 Hour";"Reservation";"False";"AzureDB_MySQL_General_Purpose_Compute_Gen5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0";"0";"westus2";"US West 2";"3/1/2018 12:00:00 AM";"b377a40a-afdd-4b7c-9ec8-af53e2b0c314";"Archive Data Write";"DZH318Z0BNZJ";"DZH318Z0BNZJ/0044";"Blob Storage";"Archive GRS";"Storage";"DZH317F1HKN0";"Storage";"1 GB";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"7.3572";"7.3572";"uaecentral";"AE Central";"7/23/2020 12:00:00 AM";"a3e4bc86-11f9-4e26-9943-8a8f72355ddd";"vCore";"DZH318Z0CGTV";"DZH318Z0CGTV/007X";"SQL Database Single/Elastic Pool General Purpose - Compute FSv2 Series";"36 vCore";"SQL Database";"DZH3180HX10K";"Databases";"1 Hour";"Consumption";"False";"36 vCore";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.6684";"0.6684";"switzerlandnorth";"CH North";"12/1/2022 12:00:00 AM";"7d3befd6-d304-5c79-aa4e-4b5450973b73";"D16as v4 Low Priority";"DZH318Z0CM93";"DZH318Z0CM93/00QN";"Virtual Machines Dasv4 Series Windows";"D16as v4 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"False";"Standard_D16as_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.2003";"0.2003";"switzerlandnorth";"CH North";"12/1/2022 12:00:00 AM";"7d3befd6-d304-5c79-aa4e-4b5450973b73";"D16as v4 Low Priority";"DZH318Z0CM93";"DZH318Z0CM93/00QN";"Virtual Machines Dasv4 Series Windows";"D16as v4 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"False";"Standard_D16as_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.1617";"0.1617";"southcentralus";"US South Central";"1/1/2023 12:00:00 AM";"0000f004-3a7b-5ffd-90a8-89d9992ac3a5";"LRS Early Premium To Archive Tier Down";"DZH318Z0CPS8";"DZH318Z0CPS8/0012";"Premium ADLS Gen2 Flat Namespace";"Premium LRS";"Storage";"DZH317F1HKN0";"Storage";"1 GB";"Consumption";"True";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"41307.7133";"41307.7133";"westcentralus";"US West Central";"12/1/2022 12:00:00 AM";"c92943b5-0f2e-54f2-b256-6424a529a820";"Commitment Tier Disconnected 8000K Unit";"DZH318Z09WSD";"DZH318Z09WSD/0011";"Computer Vision - disconnected";"Commitment Tier Disconnected 8000K";"Cognitive Services";"DZH31600VF1F";"AI + Machine Learning";"1/Year";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.8624";"0.8624";"francecentral";"FR Central";"11/1/2021 12:00:00 AM";"1d42e5ce-9bcb-52cd-bb52-3ad9a9863692";"E64-16s v5 Low Priority";"DZH318Z096SR";"DZH318Z096SR/02BM";"Virtual Machines Esv5 Series";"E64-16s v5 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"False";"Standard_E64-16s_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"4.4064";"4.4064";"centralus";"US Central";"12/1/2017 12:00:00 AM";"a38275b7-cbac-4882-b24d-167638333a14";"S1 Unit";"DZH318Z0BNZD";"DZH318Z0BNZD/001W";"Time Series Insights";"S1";"Time Series Insights";"DZH317Z6VZ3V";"Internet of Things";"1/Day";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.6528";"0.6528";"eastasia";"AP East";"11/1/2023 12:00:00 AM";"00014e7d-fff9-54dd-962e-4e992887ad3c";"D64s v5 Spot";"DZH318Z08M9T";"DZH318Z08M9T/00CC";"Virtual Machines Dsv5 Series Windows";"Standard_D64s_v5 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_D64s_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.385";"0.385";"eastasia";"AP East";"9/1/2023 12:00:00 AM";"00014e7d-fff9-54dd-962e-4e992887ad3c";"D64s v5 Spot";"DZH318Z08M9T";"DZH318Z08M9T/00CC";"Virtual Machines Dsv5 Series Windows";"Standard_D64s_v5 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_D64s_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"9.6166";"9.6166";"uksouth";"UK South";"11/1/2018 12:00:00 AM";"0001d427-82df-4d83-8ab2-b60768527e08";"E10 LRS Disk";"DZH318Z0BP88";"DZH318Z0BP88/001V";"Standard SSD Managed Disks";"E10 LRS";"Storage";"DZH317F1HKN0";"Storage";"1/Month";"Consumption";"True";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"1.712";"1.712";"southeastasia";"AP Southeast";"6/1/2021 12:00:00 AM";"d76a5e89-18c8-5fc4-b296-611c177ee5a8";"vCore";"DZH318Z0DCS1";"DZH318Z0DCS1/00BV";"Azure Database for PostgreSQL Flexible Server General Purpose Dsv3 Series Compute";"16 vCore";"Azure Database for PostgreSQL";"DZH3199QPQTD";"Databases";"1 Hour";"Consumption";"False";"AzureDB_PostgreSQL_Flexible_Server_General_Purpose_Dsv3Series_Compute";"12/18/2023 8:27:51 PM"
"EUR";"0";"5.3638";"5.3638";"uaenorth";"AE North";"11/1/2020 12:00:00 AM";"b938b1ba-1303-5e02-8f21-b5d9b054dc34";"M208-104s_v2 Low Priority";"DZH318Z0BX5L";"DZH318Z0BX5L/02S6";"Virtual Machines MSv2 Series";"M208-104s_v2 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"False";"Standard_M208-104s_v2";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0173";"0.0173";"westus";"US West";"9/1/2023 12:00:00 AM";"00026917-5c42-5cf2-994e-4037490635aa";"E2bds v5 Spot";"DZH318Z09LQP";"DZH318Z09LQP/00CL";"Virtual Machines Ebdsv5 Series";"Standard_E2bds_v5 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_E2bds_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0219";"0.0219";"qatarcentral";"QA Central";"7/5/2022 12:00:00 AM";"92785843-0ec3-464f-b7fa-8e4fd9d79b9a";"Archive Data Retrieval";"DZH318Z0BJRM";"DZH318Z0BJRM/015T";"Azure Data Lake Storage Gen2 Hierarchical Namespace";"Archive ZRS";"Storage";"DZH317F1HKN0";"Storage";"1 GB";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0564";"0.0564";"norwayeast";"NO East";"12/1/2019 12:00:00 AM";"00027356-c92d-4d1c-bf45-4503a328cf3e";"ZRS Data Stored";"DZH318Z0BNWT";"DZH318Z0BNWT/00CD";"Standard Page Blob v2";"Standard ZRS";"Storage";"DZH317F1HKN0";"Storage";"1 GB/Month";"Consumption";"True";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0046";"0.0046";"switzerlandwest";"CH West";"7/1/2022 12:00:00 AM";"2a61f450-11cf-50ed-a0d5-4364f4fbd0ce";"Firewall NVA Data Processing Data Processed";"DZH318Z0BZ5L";"DZH318Z0BZ5L/013B";"Virtual WAN";"Firewall NVA Data Processing";"Virtual WAN";"DZH315ZTM3N9";"Networking";"1 GB";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"2.4354";"2.4354";"germanynorth";"DE North";"7/23/2020 12:00:00 AM";"c0dd8821-bc63-4533-8ce8-27744851aebf";"vCore";"DZH318Z0CGTV";"DZH318Z0CGTV/018C";"SQL Database Single/Elastic Pool General Purpose - Compute FSv2 Series";"14 vCore";"SQL Database";"DZH3180HX10K";"Databases";"1 Hour";"Consumption";"False";"14 vCore";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0112";"0.0112";"westus";"US West";"9/1/2023 12:00:00 AM";"000322d3-224b-56e2-85b5-9cf54e4836d0";"B2pls v2 Spot";"DZH318Z0K9JL";"DZH318Z0K9JL/0187";"Virtual Machines Bpsv2 Series Windows";"B2pls v2 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_B2pls_v2";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0091";"0.0091";"westus";"US West";"9/1/2023 12:00:00 AM";"000322d3-224b-56e2-85b5-9cf54e4836d0";"B2pls v2 Spot";"DZH318Z0K9JL";"DZH318Z0K9JL/0187";"Virtual Machines Bpsv2 Series Windows";"B2pls v2 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_B2pls_v2";"12/18/2023 8:27:51 PM"
"EUR";"0";"0";"0";"eastasia";"AP East";"6/1/2023 12:00:00 AM";"c5e81a9c-c265-490e-8cb2-1c47520931a1";"Voice Calls Voice Call Country Code 43";"DZH318Z0BQLB";"DZH318Z0BQLB/00BP";"Azure Monitor";"Voice Calls";"Azure Monitor";"DZH315BMCLC8";"Management and Governance";"1";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"10";"0.255";"0.255";"eastasia";"AP East";"6/1/2023 12:00:00 AM";"c5e81a9c-c265-490e-8cb2-1c47520931a1";"Voice Calls Voice Call Country Code 43";"DZH318Z0BQLB";"DZH318Z0BQLB/00BP";"Azure Monitor";"Voice Calls";"Azure Monitor";"DZH315BMCLC8";"Management and Governance";"1";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.038";"0.038";"centralus";"US Central";"9/1/2023 12:00:00 AM";"000342a6-ca59-576d-bbe4-3014c80b0346";"B4ls v2 Spot";"DZH318Z0K9K9";"DZH318Z0K9K9/01QT";"Virtual Machines Bsv2 Series";"B4ls v2 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_B4ls_v2";"12/18/2023 8:27:51 PM"
"EUR";"0";"1.5143";"1.5143";"brazilsoutheast";"BR Southeast";"10/1/2023 12:00:00 AM";"00035cb1-494e-5f00-a8fa-81617c2eb929";"L80as v3 Spot";"DZH318Z08NR8";"DZH318Z08NR8/0104";"Lasv3 Series Windows";"Standard_L80as_v3 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_L80as_v3";"12/18/2023 8:27:51 PM"
"EUR";"0";"1.1791";"1.1791";"brazilsoutheast";"BR Southeast";"9/1/2023 12:00:00 AM";"00035cb1-494e-5f00-a8fa-81617c2eb929";"L80as v3 Spot";"DZH318Z08NR8";"DZH318Z08NR8/0104";"Lasv3 Series Windows";"Standard_L80as_v3 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_L80as_v3";"12/18/2023 8:27:51 PM"
"EUR";"0";"10.5491";"10.5491";"switzerlandnorth";"CH North";"3/1/2023 12:00:00 AM";"0003c425-b1df-551f-a855-9c95a08cb4ae";"vCore";"DZH318Z0KDX1";"DZH318Z0KDX1/00D6";"Azure Database for PostgreSQL Flexible Server Memory Optimized Edsv5 Series Compute";"64 vCore";"Azure Database for PostgreSQL";"DZH3199QPQTD";"Databases";"1 Hour";"Consumption";"True";"Standard_E64ds_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0215";"0.0215";"westindia";"IN West";"2/1/2021 12:00:00 AM";"000419bc-6006-53ea-8976-1644249b9728";"D2 v4 Low Priority";"DZH318Z0D1L4";"DZH318Z0D1L4/01TB";"Virtual Machines Dv4 Series";"D2 v4 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_D2_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"0";"0";"southafricawest";"ZA West";"9/1/2021 12:00:00 AM";"000443cb-0bca-5d0a-aa12-4d106dead992";"Free Benefit - M365 Defender Data Ingestion";"DZH318Z0BQLB";"DZH318Z0BQLB/08PX";"Azure Monitor";"Free Benefit - M365 Defender";"Azure Monitor";"DZH315BMCLC8";"Management and Governance";"1 GB";"Consumption";"True";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0128";"0.0128";"northeurope";"EU North";"11/1/2023 12:00:00 AM";"00045dc9-530b-5c69-94ff-1a8cb5475849";"E2s v5 Spot";"DZH318Z096SR";"DZH318Z096SR/02KN";"Virtual Machines Esv5 Series";"E2s v5 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_E2s_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0";"0";"australiacentral";"AU Central";"9/1/2023 12:00:00 AM";"00046018-8103-5deb-b26d-7a965fb51ce5";"Standard vCPU Active Usage";"DZH318Z0B0NC";"DZH318Z0B0NC/004Q";"Azure Container Apps";"Standard";"Azure Container Apps";"DZH319F70F09";"Compute";"1 Second";"Consumption";"True";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"103.1327";"103.1327";"germanywestcentral";"DE West Central";"9/1/2019 12:00:00 AM";"b3266c8b-ebd0-428c-9dd5-cd4d24c198b1";"100 DWUs";"DZH318Z0BZ1B";"DZH318Z0BZ1B/011R";"Azure Synapse Analytics Dedicated SQL Pool";"DW7500c";"Azure Synapse Analytics";"DZH3194T4H8H";"Analytics";"1/Hour";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"4.2073";"4.2073";"uaenorth";"AE North";"1/7/2019 12:00:00 AM";"0004d849-f36c-4895-9806-d011aa73ba2f";"Premium Data Analyzed";"DZH318Z0BQD2";"DZH318Z0BQD2/004M";"Log Analytics";"Premium";"Log Analytics";"DZH3140GXVMF";"Management and Governance";"1 GB";"Consumption";"True";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0091";"0.0091";"eastus";"US East";"11/1/2016 12:00:00 AM";"7fee4018-c73d-4765-9c46-98b2b9b57b16";"Cool Data Retrieval";"DZH318Z0BNZJ";"DZH318Z0BNZJ/005Z";"Blob Storage";"Cool RA-GRS";"Storage";"DZH317F1HKN0";"Storage";"1 GB";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0";"0";"northeurope";"EU North";"6/1/2023 12:00:00 AM";"bbb42bba-f17d-5e7f-808b-e18e365577ed";"Voice Calls Voice Call Country Code 234";"DZH318Z0BQLB";"DZH318Z0BQLB/009P";"Azure Monitor";"Voice Calls";"Azure Monitor";"DZH315BMCLC8";"Management and Governance";"1";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"10";"0.1138";"0.1138";"northeurope";"EU North";"6/1/2023 12:00:00 AM";"bbb42bba-f17d-5e7f-808b-e18e365577ed";"Voice Calls Voice Call Country Code 234";"DZH318Z0BQLB";"DZH318Z0BQLB/009P";"Azure Monitor";"Voice Calls";"Azure Monitor";"DZH315BMCLC8";"Management and Governance";"1";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.3169";"0.3169";"swedensouth";"SE South";"11/1/2022 12:00:00 AM";"00055bd0-12e3-51f0-aba3-e4da5d5948ca";"E20a v4/E20as v4 Low Priority";"DZH318Z0CM29";"DZH318Z0CM29/026M";"Virtual Machines Eav4 Series";"E20a v4 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_E20a_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"1.4425";"1.4425";"northeurope";"EU North";"3/1/2023 12:00:00 AM";"0005750b-fa8e-5e0f-9df4-406513723b4b";"vCore";"DZH318Z0KF1X";"DZH318Z0KF1X/002C";"Azure Database for PostgreSQL Flexible Server General Purpose Dadsv5 Series Compute";"16 vCore";"Azure Database for PostgreSQL";"DZH3199QPQTD";"Databases";"1 Hour";"Consumption";"True";"Standard_D16ads_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0911";"0.0911";"eastasia";"AP East";"4/1/2019 12:00:00 AM";"9806198f-b65b-4e0a-bb4c-45a8cd44083d";"Cool GRS Iterative Read Operations";"DZH318Z0BJRN";"DZH318Z0BJRN/0013";"Azure Data Lake Storage Gen2 Flat Namespace";"Cool RA-GRS";"Storage";"DZH317F1HKN0";"Storage";"10K";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.6036";"0.6036";"norwaywest";"NO West";"8/1/2023 12:00:00 AM";"000586ee-0ba2-59ba-b9d7-01949ce5f9d0";"MV Builder D4s vCore";"DZH318Z0DX1T";"DZH318Z0DX1T/00B4";"Azure Cosmos DB Materialized Views";"MV Builder D4s";"Azure Cosmos DB";"DZH317DL9CC7";"Databases";"1 Hour";"Consumption";"True";"Azure Cosmos DB Materialized Views Builder D4s";"12/18/2023 8:27:51 PM"
"EUR";"0";"3.1026";"3.1026";"swedensouth";"SE South";"12/1/2022 12:00:00 AM";"0005954c-99f5-5b9b-9ca1-37fc4974a3c8";"E64-32as_v4 Low Priority";"DZH318Z0CM92";"DZH318Z0CM92/02F7";"Virtual Machines Easv4 Series Windows";"E64-32as_v4 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_E64-32as_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"1.0154";"1.0154";"swedensouth";"SE South";"12/1/2022 12:00:00 AM";"0005954c-99f5-5b9b-9ca1-37fc4974a3c8";"E64-32as_v4 Low Priority";"DZH318Z0CM92";"DZH318Z0CM92/02F7";"Virtual Machines Easv4 Series Windows";"E64-32as_v4 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_E64-32as_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"3.9587";"3.9587";"usgovarizona";"US Gov AZ";"1/1/2019 12:00:00 AM";"dc4a55b5-2273-4144-9723-68e3060a59cb";"E64-16s v3";"DZH318Z0BQ4R";"DZH318Z0BQ4R/02L6";"Virtual Machines ESv3 Series";"E64-16s v3";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"False";"Standard_E64-16s_v3";"12/18/2023 8:27:51 PM"
"EUR";"0";"23956.8345";"23956.8345";"usgovarizona";"US Gov AZ";"9/1/2018 12:00:00 AM";"dc4a55b5-2273-4144-9723-68e3060a59cb";"E64-16s v3";"DZH318Z0BQ4R";"DZH318Z0BQ4R/02L4";"Virtual Machines ESv3 Series";"E64-16s v3";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"False";"Standard_E64-16s_v3";"12/18/2023 8:27:51 PM"
"EUR";"0";"45957.5631";"45957.5631";"usgovarizona";"US Gov AZ";"9/1/2018 12:00:00 AM";"dc4a55b5-2273-4144-9723-68e3060a59cb";"E64-16s v3";"DZH318Z0BQ4R";"DZH318Z0BQ4R/02KZ";"Virtual Machines ESv3 Series";"E64-16s v3";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"False";"Standard_E64-16s_v3";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.1421";"0.1421";"eastus2";"US East 2";"10/1/2023 12:00:00 AM";"00062872-0b43-592a-92ca-3ab13f1a01c4";"D4ads v5 Low Priority";"DZH318Z08W2Q";"DZH318Z08W2Q/0044";"Dadsv5 Series Cloud Services";"Standard_D4ads_v5 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_D4ads_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.1867";"0.1867";"northeurope";"EU North";"9/1/2022 12:00:00 AM";"0006484d-83b5-5b4d-b268-4981ad7ed143";"E16pds v5 Low Priority";"DZH318Z092SH";"DZH318Z092SH/00PR";"Virtual Machines Epdsv5 Series";"Standard_E16pds_v5 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_E16pds_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.1293";"0.1293";"uksouth";"UK South";"12/1/2023 12:00:00 AM";"00068f75-5733-5c2f-bb0e-af49ee10970c";"D1/DS1";"DZH318Z0BPVW";"DZH318Z0BPVW/013G";"Virtual Machines D Series Windows";"D1";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_D1";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0876";"0.0876";"uksouth";"UK South";"12/1/2023 12:00:00 AM";"00068f75-5733-5c2f-bb0e-af49ee10970c";"D1/DS1";"DZH318Z0BPVW";"DZH318Z0BPVW/013G";"Virtual Machines D Series Windows";"D1";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_D1";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.1748";"0.1748";"koreacentral";"KR Central";"9/1/2023 12:00:00 AM";"0007077d-1214-51d5-a241-eeced2862196";"D16ls v5 Spot";"DZH318Z08M9L";"DZH318Z08M9L/00KS";"Virtual Machines Dlsv5 Series";"D16ls v5 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_D16ls_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.1138";"0.1138";"westeurope";"EU West";"5/1/2023 12:00:00 AM";"000714f3-c2e9-57f3-8d2e-2761b30afb3b";"Cold RA-GRS Iterative Read Operations";"DZH318Z0BJRN";"DZH318Z0BJRN/01QW";"Azure Data Lake Storage Gen2 Flat Namespace";"Cold RA-GRS";"Storage";"DZH317F1HKN0";"Storage";"10K";"Consumption";"True";"Cold";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.1398";"0.1398";"switzerlandwest";"CH West";"10/1/2021 12:00:00 AM";"e1948c9b-6847-432b-b236-b36d1c3773e3";"Hot GRS Write Operations";"DZH318Z0BPH7";"DZH318Z0BPH7/015K";"General Block Blob v2";"Hot RA-GRS";"Storage";"DZH317F1HKN0";"Storage";"10K";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"3.5552";"3.5552";"koreacentral";"KR Central";"11/1/2021 12:00:00 AM";"cafe182f-5c9c-5463-9511-d3975c95119d";"E32-16s v5";"DZH318Z096T1";"DZH318Z096T1/0531";"Virtual Machines Esv5 Series Windows";"E32-16s v5";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"False";"Standard_E32-16s_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"2.2147";"2.2147";"koreacentral";"KR Central";"11/1/2021 12:00:00 AM";"cafe182f-5c9c-5463-9511-d3975c95119d";"E32-16s v5";"DZH318Z096T1";"DZH318Z096T1/0531";"Virtual Machines Esv5 Series Windows";"E32-16s v5";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"False";"Standard_E32-16s_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"1.3696";"1.3696";"eastus2";"US East 2";"12/1/2021 12:00:00 AM";"0007942f-35ac-5c71-9845-63365457677b";"D16s v5";"DZH318Z08M9T";"DZH318Z08M9T/00MZ";"Virtual Machines Dsv5 Series Windows";"Standard_D16s_v5";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_D16s_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.6994";"0.6994";"eastus2";"US East 2";"12/1/2021 12:00:00 AM";"0007942f-35ac-5c71-9845-63365457677b";"D16s v5";"DZH318Z08M9T";"DZH318Z08M9T/00MZ";"Virtual Machines Dsv5 Series Windows";"Standard_D16s_v5";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_D16s_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.1911";"0.1911";"australiasoutheast";"AU Southeast";"9/1/2023 12:00:00 AM";"00081217-b2ba-5564-b978-05466d34bb98";"E16-8ads v5 Spot";"DZH318Z093WX";"DZH318Z093WX/02JL";"Virtual Machines Eadsv5 Series Windows";"E16-8ads v5 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_E16-8ads_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.124";"0.124";"australiasoutheast";"AU Southeast";"9/1/2022 12:00:00 AM";"00081217-b2ba-5564-b978-05466d34bb98";"E16-8ads v5 Spot";"DZH318Z093WX";"DZH318Z093WX/02JL";"Virtual Machines Eadsv5 Series Windows";"E16-8ads v5 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_E16-8ads_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"6.5568";"6.5568";"westeurope";"EU West";"6/1/2022 12:00:00 AM";"0008192f-190b-5119-87b8-96130c21ecfe";"L48s v3";"DZH318Z08NRP";"DZH318Z08NRP/001B";"Virtual Machines Lsv3 Series Windows";"Standard_L48s_v3";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_L48s_v3";"12/18/2023 8:27:51 PM"
"EUR";"0";"4.546";"4.546";"westeurope";"EU West";"6/1/2022 12:00:00 AM";"0008192f-190b-5119-87b8-96130c21ecfe";"L48s v3";"DZH318Z08NRP";"DZH318Z08NRP/001B";"Virtual Machines Lsv3 Series Windows";"Standard_L48s_v3";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_L48s_v3";"12/18/2023 8:27:51 PM"
